Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.99198124626126,1.3483616572916002,18788.595533181597,125,1.026042869085437,0.0079187010834865,-0.0076095789314624
2,0.99198124626126,1.3483616572916002,18815.3605853835,125,1.0258652849740932,0.0075554645683494,-0.007259978910857
3,0.99191709623134,1.3591485505499,18944.675692033732,126,1.026233348667977,0.0072730282780272,-0.0069904859073435
4,0.9919170962313298,1.3591485505499,18928.985820163223,126,1.0264068421823047,0.0074944069393507,-0.0071958226847466
5,0.99191709623134,1.3591485505499,18995.09512614428,126,1.026441231593039,0.0076605985415124,-0.0073543021067002
6,0.99191709623134,1.3591485505499,18867.958413398763,126,1.0264212164310216,0.0073141152527702,-0.0070225924519633
7,0.99198124626125,1.3483616572916002,18947.03288447112,125,1.026291159874608,0.0076537553857179,-0.0073587884483355
8,0.99198124626125,1.3483616572916002,18964.6661534322,125,1.0261651228891489,0.0075705321976168,-0.0072657705795555
9,0.99191709623135,1.3591485505499,19020.763000008883,126,1.0261172801571872,0.0074629434860232,-0.0071722015400985
10,0.99191709623135,1.3591485505499,18947.34419760202,126,1.026515404241081,0.007883039955621,-0.0075734161622796
11,0.99191709623135,1.3591485505499,18963.966395689105,126,1.0262821207559791,0.0076750308718038,-0.0073728531269563
12,0.99198124626126,1.3483616572916002,18745.266012701908,125,1.0264668701651682,0.0075315389367693,-0.0072360649921641
13,0.99198124626126,1.3483616572916002,18976.7115371632,125,1.0263365313035842,0.0073926579053421,-0.0071056289007059
14,0.9920453962911802,1.3375747640332,18675.60715413854,124,1.025881094631293,0.0074219190983252,-0.0071289678227891
15,0.99191709623135,1.3591485505499,18973.57535801715,126,1.026163977752687,0.00780800512776,-0.007510744832197
16,0.99198124626126,1.3483616572916002,19050.49114953254,125,1.0264307795249246,0.0078389001512822,-0.0075270089266324
17,0.99204539629116,1.3375747640333,18662.17960824552,124,1.026156199072333,0.0080618533796414,-0.007738052840828
18,0.99198124626125,1.3483616572916002,18776.0169237367,125,1.0259454309948606,0.007768990234073,-0.0074666841860574
19,0.99198124626126,1.3483616572916002,18914.48372717382,125,1.0263362234020317,0.0076069077223643,-0.0072923489064181
20,0.99204539629116,1.3375747640332,18713.88359717953,124,1.02581249112253,0.0079045453240251,-0.0076028988791793
21,0.99198124626127,1.3483616572916002,18786.274625262613,125,1.0263795540509475,0.0074850988264196,-0.0071903790583206
22,0.99191709623134,1.3591485505499,18885.96063874253,126,1.0261711443202006,0.0077252746910948,-0.0074330786028209
23,0.99191709623135,1.3591485505499,18893.03035481442,126,1.0258931800606124,0.0075711245493361,-0.0072785348889822
24,0.99191709623134,1.3591485505499,18976.576491699117,126,1.0266447586379988,0.0077346520984249,-0.0074283470594688
25,0.99204539629117,1.3375747640332,18635.422138088637,124,1.0263177510711672,0.0075708602091958,-0.0072641223424347
