Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9034240826342063,58.60543995675967,2415,1.0693413756594374,1.126114501928975e-05,-1.1128932070606095e-05,64.621542128377,2415
2,0.9038668519403537,58.46744388455642,2412,1.0686646643479374,1e-16,1e-16,1e-16,2412
3,0.9030927586636198,58.81114094892138,2423,1.069761266752813,1e-16,1e-16,1e-16,2423
4,0.9026891458267235,59.04541847757326,2431,1.0696334486575387,1e-16,1e-16,1e-16,2431
5,0.9033377375994474,58.74153991006498,2423,1.069388007287416,1e-16,1e-16,1e-16,2423
