Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9182523363359987,63.55533677088405,2711,1.2085874591411925,1.4210585961060389e-05,-1.3998398226362327e-05,69.141476253257,2711
2,0.9183326572985651,63.475525555903474,2709,1.206816201021773,1e-16,1e-16,1e-16,2709
3,0.9176519371408147,64.02870627362367,2731,1.21062032245108,1e-16,1e-16,1e-16,2731
4,0.9180605700378713,63.699790249661675,2715,1.2088368015566229,1e-16,1e-16,1e-16,2715
5,0.9175414958172858,64.06352652717491,2734,1.2097766751030743,1e-16,1e-16,1e-16,2734
