Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9419018397516475,54.04729465615089,3069,1.1407076834897423,1.6127296465636566e-05,-1.591457433750471e-05,60.415555807013,2489
2,0.9418707153786531,53.99243518945136,3046,1.1398465173121666,1e-16,1e-16,1e-16,2488
3,0.9416367805751784,54.27402040577666,3044,1.1422798983498743,1e-16,1e-16,1e-16,2499
4,0.9417000333331995,54.227781165669796,3052,1.140143884930099,1e-16,1e-16,1e-16,2498
5,0.9416227244067293,54.24591071655921,3067,1.1397095373243138,1e-16,1e-16,1e-16,2505
