Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.8959241127545673,57.55278931118627,2263,1.1767044673993279,1.4698665973371746e-05,-1.4501669352744598e-05,62.530426554047,2263
2,0.8962453966048329,57.38990688383325,2257,1.175244935680551,1e-16,1e-16,1e-16,2257
3,0.8954713033280991,57.81762520339892,2274,1.1775135025122383,1e-16,1e-16,1e-16,2274
4,0.8953106614029662,57.918165744916145,2277,1.1775142109592716,1e-16,1e-16,1e-16,2277
5,0.8955777286034996,57.72097218445258,2269,1.176689663359816,1e-16,1e-16,1e-16,2269
