Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.8757123465367609,67.96930110301895,2711,1.11315975392179,8.49501869706881e-06,-8.387379629515457e-06,74.943814914871,2711
2,0.8753227898683138,68.0223924321612,2709,1.1132705258413031,1e-16,1e-16,1e-16,2709
3,0.8746029132413122,68.50353020836212,2731,1.1148026875557193,1e-16,1e-16,1e-16,2731
4,0.8751099393175128,68.17611281591522,2715,1.1136118487640603,1e-16,1e-16,1e-16,2715
5,0.8741260075260742,68.67019810183055,2734,1.1152516020095125,1e-16,1e-16,1e-16,2734
