Packing_fraction,Samples,M0_avg,M0_var,M1_avg,M1_var,M2_avg,M2_var,M3_avg,M3_var,Tau_avg,Tau_var,Permeability_avg,Permeability_var,Energy_avg,Energy_var
0.05,13,0.9827644401598474,9.426320687208968e-05,1.7817021323397786,0.019980854684603488,9343.721546875358,0.006075711163231959,89.6140617663067,0.005435858287968863,1.0115560098695946,0.00014092180904184506,0.007304910924516116,0.06152178248441415,0.007066397937909546,0.06228850055067591
0.060000000000000005,15,0.9793051931238503,0.00012148771394552917,2.150630988147404,0.005765588170461418,11219.176056267079,0.006482355065735144,107.53154940737012,0.0057655881704614135,1.0139041894692145,0.00017733142862028244,0.0059439308036942215,0.037625753551548353,0.005735661360805846,0.0381299937891908
0.06999999999999999,15,0.9758539214889855,0.00012191923259468247,2.5093027965023045,0.004936388694156496,13090.424462319319,0.005607455384836343,125.46513982511526,0.004936388694156498,1.0162947762754106,0.0001767615396526598,0.004940193038752037,0.027705193397361473,0.0047546527558968476,0.027990019661753702
0.08,15,0.9724796168585561,0.00020437122528921264,2.859925143495113,0.007241621748396543,14924.435710264976,0.007997276310410261,142.99625717475968,0.0072416217483940145,1.0186083126117234,0.00021349444329043474,0.004261992890357815,0.030932837783790107,0.004093530283292829,0.03142555515131902
0.09,15,0.9690668365533438,0.00019814643251526962,3.2146046617116126,0.006212704090868042,16775.82708099466,0.006642056068629252,160.73023308558462,0.006212704090868268,1.020948508630358,0.00020949352317983197,0.0037213452608730806,0.019672669693656653,0.0035679894590350753,0.020275069615633128
0.09999999999999999,15,0.9657438661290104,0.00019253586773782918,3.55994773202542,0.00541459039193204,18579.41681097052,0.005628869062735282,177.99738660127517,0.0054145903919338295,1.023207123295483,0.00024421123116898964,0.003281870588428122,0.020863354816213462,0.003141557346769972,0.02166895344467163
0.11,15,0.9623439153363206,0.0001885560690074252,3.9132880062023303,0.004810395165825113,20424.482119583554,0.0053075901958035895,195.66440031012064,0.004810395165826835,1.0255620380220023,0.00026204081904888726,0.002895404735500855,0.01851797891483731,0.0027672819371826543,0.019207376481844604
0.12,15,0.9589567736169357,0.0002787099625347882,4.2652427516336315,0.006519720273002163,22265.60819298752,0.0067570107505614515,213.26213758168691,0.006519720273001988,1.0279027176228375,0.0002732751282115897,0.0025879199826634404,0.015445142270762137,0.002470214925883862,0.016073486437507608
0.13,15,0.9557235732415837,0.00039908349277766145,4.601161900262807,0.008640706593698385,24017.803641167277,0.008738578628236977,230.05809501314533,0.008640706593698092,1.0301444342596013,0.0003276844145386078,0.0023300683465823,0.015713098068822862,0.0022214636473303446,0.016206887511016378
0.14,15,0.952336450879472,0.0004018350768981928,4.953172786651927,0.008061937521361081,25858.188000144866,0.008021724303134886,247.658639332601,0.008061937521361051,1.0325058481356435,0.0002753798619940465,0.0020864941469323716,0.017122185951837558,0.001986351870104838,0.017754744171513966
0.15000000000000002,15,0.9490262409673093,0.0005532157552908211,5.297048957373187,0.010390892366133548,27662.152263475105,0.010389697285004487,264.85244786866116,0.010390892366130012,1.0348511204470083,0.00037681302528317154,0.0019076419673516101,0.017599326802534253,0.0018144014322361262,0.018112509065841817
0.16,15,0.9457417782091767,0.0005171596837522767,5.6384360449469755,0.00905848498262036,29440.49164748783,0.00933798275545833,281.92180224734943,0.009058484982621776,1.037096017389693,0.00039828861190200124,0.0017428804073103157,0.020198870657771317,0.0016562583354629208,0.020586537618764764
0.17,15,0.942495789548816,0.000512203330373729,5.975788971811479,0.008408127205085355,31205.70376937868,0.008697055420165052,298.78944859057066,0.00840812720508953,1.0393657728341814,0.00039708614510363093,0.0015972083187002258,0.021261183909071234,0.0015165612162764248,0.02158715885925782
0.18000000000000002,15,0.9392369721425853,0.0005044990936864486,6.3144889586886075,0.007795720276593338,32975.59983110125,0.008368039472523629,315.72373328280446,0.007798231023813495,1.0416640502639698,0.000437649250027275,0.0014663985193236462,0.02182879276464703,0.0013909413344390922,0.022199246422278815
0.19,15,0.9360166127691214,0.0005612287358250553,6.649117792712793,0.00819201821954348,34718.58907011219,0.008976669872538123,332.4554936020064,0.008193094942943537,1.043883143698747,0.0004941641066894935,0.001355344915622039,0.021006443569204784,0.001284699243665937,0.021222773661004956
0.2,15,0.9327193300097659,0.00050436133642518,6.991851357093881,0.006973130803880819,36509.93601251479,0.007814694445301876,349.5914806709213,0.006976438609268872,1.0462202627171522,0.0004420417031899484,0.0012549085814403474,0.01775060981166006,0.001188807666068593,0.017947549188962995
0.21000000000000002,15,0.9296272852509697,0.0005327975674556926,7.313169963189112,0.007026152552845854,38184.71127349718,0.008068383780864294,365.6576301572078,0.007026755084470401,1.0483370996741386,0.00045281568481484895,0.0011695361021758332,0.01549219714118485,0.0011075476669453871,0.015613940467252174
0.22,15,0.9265224219578014,0.0005373909626566266,7.635835766146451,0.0067757774595542984,39863.59656367796,0.0077037816941251365,381.7912365053416,0.006775101008978367,1.0505126684594175,0.00044604277726166015,0.0010903015699884235,0.010700212439701722,0.0010319565695586569,0.010798170994443164
0.23,15,0.923443193344332,0.0005904292245717971,7.955813798790584,0.007126086842050548,41530.8888299716,0.007947755054230163,397.78990784884405,0.007123865170843092,1.0526223021607002,0.0004535697368770676,0.0010238867451861926,0.011984992456560716,0.0009688607443950552,0.012166428070794962
