Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9563997734948856,40.60150324152838,1870,1.0453025302575731,2.217805100117673e-05,-2.1974813196298063e-05,45.390495970742,1870
2,0.9562722639668114,40.70596400218213,1871,1.0454096255578216,1e-16,1e-16,1e-16,1871
3,0.9561176461138711,40.86303966810304,1880,1.045567139112578,1e-16,1e-16,1e-16,1880
4,0.9563726651700194,40.64278090165402,1868,1.0454794913689425,2.2224505871894737e-05,-2.2204074563408314e-05,45.366486065376,1868
5,0.9562652358825868,40.70914506308182,1879,1.045697409668588,1e-16,1e-16,1e-16,1879
7,0.956379693254244,40.642376642590676,1871,1.0451447375650618,2.2621340976580608e-05,-2.218262808069474e-05,45.377291547413,1871
11,0.956505194758254,40.44810818034551,1863,1.0452416925065213,2.2662958336747924e-05,-2.272811365388255e-05,45.260779113607,1863
14,0.9565965598531733,40.38304530920228,1860,1.0448873821359563,1e-16,1e-16,1e-16,1860
18,0.956405797567078,40.58568364520259,1870,1.045552588595117,2.2575865888766758e-05,-2.2341250899502494e-05,45.378792773188,1870
