Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.8854964437893824,65.80786828011027,2489,1.1873459649451212,3.917298386225817e-06,-3.837899275451967e-06,108.7247386754,2489
2,0.8855908209203979,65.82673698923651,2488,1.1875311610679324,1e-16,1e-16,1e-16,2488
3,0.8850426303508822,66.06643733529857,2499,1.1898823106794558,1e-16,1e-16,1e-16,2499
4,0.8851530716744109,66.05015485845864,2498,1.1883269987395286,1e-16,1e-16,1e-16,2498
5,0.8849392171115779,66.14273820004973,2505,1.1882980619860737,1e-16,1e-16,1e-16,2505
