Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9114642109871045,44.728284390364884,1710,1.1263810704480497,2.6649570703900277e-05,-2.6749869932076456e-05,44.908885125908,1710
2,0.9116740495018092,44.64184831922318,1707,1.1258624855658037,1e-16,1e-16,1e-16,1707
3,0.911483287215714,44.700112112938065,1709,1.1259078279984582,1e-16,1e-16,1e-16,1709
4,0.9115013594322915,44.70540298224899,1709,1.125932876705581,2.690261132708809e-05,-2.709059920527978e-05,44.906360454905,1709
5,0.9113648137959285,44.80567682264588,1714,1.1269026142714265,1e-16,1e-16,1e-16,1714
6,0.9111760595338975,44.8850837785631,1719,1.127429118967128,1e-16,1e-16,1e-16,1719
7,0.9115435279376388,44.702888914774405,1709,1.1252247729197762,1e-16,1e-16,1e-16,1709
8,0.9117322821996698,44.58813904150429,1705,1.125575471514446,2.6582726296696956e-05,-2.6823030195731858e-05,44.803317522152,1705
9,0.9119290685579576,44.512143184282884,1702,1.1246651477372922,1e-16,1e-16,1e-16,1702
10,0.9109973453921871,44.98005436812482,1720,1.127048582826555,1e-16,1e-16,1e-16,1720
12,0.9119320805940538,44.47264323831688,1701,1.1261217729495745,2.6982390489468143e-05,-2.7020680975879227e-05,44.701254833299,1701
16,0.9112865008574262,44.812689589587535,1714,1.1266077564402979,2.6070221788866484e-05,-2.5849857367474796e-05,44.989846718352,1714
20,0.9124240464897732,44.25629511440203,1692,1.124280906869344,2.688302869754349e-05,-2.6877940651253186e-05,44.466481114207,1692
23,0.9110023654523476,44.97911786865748,1719,1.1279388780050672,2.6398804980226042e-05,-2.652794780812521e-05,45.157892597484,1719
