Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.927033425568572,56.82552075230029,2918,1.152508745682959,1.562749451911025e-05,-1.5336747882729088e-05,61.574382099352,2415
2,0.927272380432207,56.724661659892384,2915,1.1518321348853453,1e-16,1e-16,1e-16,2412
3,0.926845675318573,57.02404829961406,2916,1.1532140802518986,1e-16,1e-16,1e-16,2423
4,0.9265786081180397,57.23425476292331,2920,1.1532816558293517,1e-16,1e-16,1e-16,2431
5,0.9268778037035996,56.976868593281296,2881,1.152841689640145,1e-16,1e-16,1e-16,2423
