Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.8595427327601094,85.86793270770553,3581,1.2400008861703238,6.62394760806615e-06,-6.5356002768604985e-06,86.383344269339,3581
2,0.8603750587347039,85.36254567813617,3561,1.240016279776778,6.725382821046538e-06,-6.6444307842248205e-06,85.948541654766,3561
3,0.8594353034726768,85.95625135438424,3586,1.2415464742332865,6.5490940421904705e-06,-6.484970970303047e-06,86.472065486397,3586
4,0.8592134168135871,86.09058994181274,3590,1.2455467467508705,6.572972852655845e-06,-6.4755770582105265e-06,86.642935539136,3590
5,0.8604553796972703,85.33550724140717,3559,1.2397353436429315,6.626703547864377e-06,-6.525101060790581e-06,85.778987240378,3559
6,0.8599272693683961,85.58795098427267,3569,1.2415255880826082,6.598853032000222e-06,-6.527081401852965e-06,86.114528376875,3569
7,0.8605838932373766,85.26914307997937,3555,1.2401650067895116,6.608894655790582e-06,-6.471159504221829e-06,85.741447124307,3555
