Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.8140489395624917,95.49380743337063,3727,1.2538954467172176,4.334123400302382e-06,-4.209163677411192e-06,104.83973128834,3727
2,0.8161151963245128,94.45957464762218,3687,1.2512501209686309,1e-16,1e-16,1e-16,3688
3,0.8132708302376296,95.90858104814376,3744,1.2568746387093377,1e-16,1e-16,1e-16,3744
4,0.8144746406640937,95.30137927349449,3720,1.2543496452336649,4.4022105121464825e-06,-4.291347018695955e-06,104.68391657589,3721
5,0.815003755005,95.01891337423079,3709,1.2534439019695778,1e-16,1e-16,1e-16,3709
7,0.8148943176935033,95.1343860574549,3716,1.2532050854060752,4.375176434740056e-06,-4.2747981019301946e-06,104.50480729766,3716
10,0.813977654708214,95.53709284545205,3729,1.2557607502396322,4.37333047596554e-06,-4.284173898062715e-06,104.89260982543,3729
13,0.8157959204983113,94.60381443688651,3692,1.2517998369364962,4.503199524936177e-06,-4.386317566793241e-06,103.9025203448,3693
16,0.8148742374528616,95.04166680100602,3708,1.2523585658554086,4.413848771776288e-06,-4.309241966370748e-06,104.33293053335,3709
19,0.812561997742981,96.27035861854968,3758,1.2562477232850837,4.234240206412078e-06,-4.144262566665041e-06,105.74734652086,3758
22,0.8148370890076747,95.14844428790387,3716,1.2545552792169299,4.443073654264377e-06,-4.3534667788825485e-06,104.53149022088,3716
