Porosity,M0_ps,M1_ps,M3_ps,Tau_ps,M0_eff_ps,M1_eff_ps,M3_eff_ps,Permeability,Energy
0.05,0.04991590300031858,42.688701806633404,-2846,inf,0.0,3.5029170026531102,1,8.05292584758903e-12,-6.707149937367423e-13
0.1,0.10000632484398718,71.07942309281142,-3849,inf,0.0,3.5029170026531102,1,2.0129261333083657e-11,-6.448623712874018e-13
0.14,0.13994537208822924,90.54896570998018,-4188,inf,0.0,3.5029170026531102,1,5.190617448647646e-11,-5.492999785328753e-12
0.18,0.18009524746537733,105.80339306327878,-4123,inf,0.0,3.5029170026531102,1,1.0839472492445098e-10,-1.261922754555014e-11
0.23,0.23002169187234126,122.2216929441348,-3841,inf,0.0,3.5029170026531102,1,2.7514464320147366e-10,-4.758589094126538e-11
0.27,0.2698365847716497,132.74295073876067,-3377,inf,0.0,3.5029170026531102,1,4.836473061229917e-10,-9.152942160390249e-11
0.32,0.3195205768257716,143.6935111926399,-2778,inf,0.0,3.5029170026531102,1,9.732013874756788e-10,-2.214994050103047e-10
0.36,0.35997263919341843,150.81331035364104,-2081,inf,0.0,3.5029170026531102,1,1.8141238752288088e-09,-4.449545768349031e-10
0.41,0.41026569029815785,156.74671359810552,-1347,inf,0.0,3.5029170026531102,1,5.231339448840221e-09,-1.989867145134516e-09
0.45,0.45003490376866995,158.97733994883816,-644,inf,0.0,3.5029170026531102,1,7.875143199176843e-09,-3.2283260598514127e-09
0.5,0.5001300106819587,159.26275967612733,257,32.869486505538184,0.14014800134930006,44.08550317079497,339,2.019963028117784e-08,-1.20721888560964e-08
0.55,0.5499264444069639,159.053779533369,1246,14.628831971256792,0.4850124622851896,134.64363769605458,1658,6.086446052060168e-08,-4.3052566463140174e-08
0.59,0.5900154138790502,156.08813958702282,1845,6.793006021451031,0.5671065947039973,145.41632776434506,2198,1.4392466582269252e-07,-1.2018846020870915e-07
0.64,0.6400238470043664,149.97174534216722,2694,3.767307072494308,0.6320639137197579,145.29749022235168,2922,2.832600388756122e-07,-2.537418832283878e-07
0.68,0.6805110473941642,142.30910081598884,3292,2.822695873544672,0.674828057944941,139.3045190889658,3423,5.23831689761374e-07,-4.958455923327315e-07
0.73,0.7298893386555724,131.42945623461148,3871,2.22059054599728,0.7265477127490114,129.61133978401494,3960,1.104821412819468e-06,-1.0456579667839557e-06
0.77,0.7704503288918874,121.99671898378355,4298,1.8497579398446917,0.7692029291055265,121.13597232213655,4340,1.570683111419834e-06,-1.5027409780966204e-06
0.82,0.8200687299713274,103.52046871508443,4468,1.5284014000658517,0.8196646427165908,103.23809132891529,4486,2.930899327217285e-06,-2.8315926502384486e-06
0.86,0.860306450403853,88.12811745439438,4479,1.354089835047009,0.8601237326886677,87.97270786957527,4485,4.896393150162216e-06,-4.7854760481654295e-06
0.91,0.910100541594048,63.25236597303604,3892,1.2061918716458984,0.9099611607728492,63.164510206871455,3897,1.0611899872129527e-05,-1.0500870667628477e-05
0.95,0.9501777983920842,39.92621444532354,3021,1.1000633157510915,0.9501719420550591,39.92039133560861,3021,2.339087186135402e-05,-2.3223815164647088e-05
