Porosity,M0_ps,M1_ps,M3_ps,Tau_ps,M0_eff_ps,M1_eff_ps,M3_eff_ps,Permeability,Energy
0.05,0.04983040047975113,46.02538458527667,-3383,inf,0.0,3.5029170026531102,1,3.1477179129713018e-12,-2.5577408250104157e-13
0.1,0.10008948482974456,77.12081776320048,-4604,inf,0.0,3.5029170026531102,1,2.1755488076484212e-11,-1.2196068578896399e-12
0.14,0.13987275350911715,96.52166875425831,-4787,inf,0.0,3.5029170026531102,1,5.058541756941164e-11,-6.5505290871992236e-12
0.18,0.18005308183879612,113.44795824525283,-4768,inf,0.0,3.5029170026531102,1,9.852219282763323e-11,-1.356926346495734e-11
0.23,0.230292254642904,131.6714338386715,-4489,inf,0.0,3.5029170026531102,1,2.244291238004321e-10,-3.840161484524322e-11
0.27,0.2700872359963269,142.6807209667798,-3921,inf,0.0,3.5029170026531102,1,5.747926901851968e-10,-1.1803709154325763e-10
0.32,0.3196131069507693,154.87368302611725,-3224,inf,0.0,3.5029170026531102,1,8.240615909518338e-10,-1.8510866893452632e-10
0.36,0.3597547834560821,162.72611763011508,-2520,inf,0.0,3.5029170026531102,1,1.7863174584035457e-09,-4.661874123298396e-10
0.41,0.4100185528756957,168.03919059726817,-1572,inf,0.0,3.5029170026531102,1,4.656962924286759e-09,-1.7766727504062053e-09
0.45,0.4503206930154982,172.34807605503437,-718,inf,0.0,3.5029170026531102,1,5.868335187351468e-09,-2.208388099869363e-09
0.5,0.5001862315174004,173.0362065370792,356,inf,0.0,3.5029170026531102,1,1.9759228520157343e-08,-1.1434325991159004e-08
0.55,0.549721472611083,171.50335987430455,1474,12.65199126860878,0.5018060943385618,150.11032947130334,2007,5.8159971617635454e-08,-4.172627490042881e-08
0.59,0.5903445400198647,168.3709471731126,2268,6.403084683305775,0.5669906392308989,157.04430337046284,2622,1.0880244789213187e-07,-8.402643230617951e-08
0.64,0.6401152058619591,160.79315041162963,3103,4.004561664050255,0.6262298307752853,153.93264872561463,3358,2.7771543379557896e-07,-2.5048842013796123e-07
0.68,0.6800565956410112,153.41649732139058,3879,2.904098932025501,0.6765638762392009,151.04006038506682,4009,4.707669088616399e-07,-4.356585020908587e-07
0.73,0.7298987087948127,143.1893324922535,4661,2.2252028895772966,0.7265910496429977,141.51838373406156,4730,8.98914655896543e-07,-8.491782725976065e-07
0.77,0.76984595491089,130.5234965072562,5132,1.82532611205694,0.7687719027004741,129.71402399234572,5186,1.4144085870915237e-06,-1.3474658468137397e-06
0.82,0.8199352054871535,112.52340492465734,5333,1.5234572481227573,0.8195322894998219,112.17563934477378,5352,2.4843075662518557e-06,-2.4064762341299723e-06
0.86,0.8601893236633497,94.86131643988588,5317,1.3679911674773049,0.8600733681902513,94.76315521282213,5323,4.174279633167203e-06,-4.023653729606317e-06
0.91,0.9100103540038604,68.19181219927911,4672,1.204035700472199,0.9099740447143044,68.15584175674722,4675,8.77335213019856e-06,-8.642639123235456e-06
0.95,0.950033732501265,42.831442483134154,3507,1.1013947803004809,0.950033732501265,42.831442483134154,3507,2.080089276581164e-05,-2.0446036095657622e-05
