Porosity,M0_ps,M1_ps,M3_ps,Tau_ps,M0_eff_ps,M1_eff_ps,M3_eff_ps,Permeability,Energy
0.05,0.04996978130095013,26.53743101090053,-975,inf,0.0,3.5029170026531102,1,-3.938028749026482e-13,-1.3508801617420499e-13
0.1,0.09996767301962108,43.197225300261096,-1315,inf,0.0,3.5029170026531102,1,1.0245368207599558e-10,-1.3447000434626039e-11
0.14,0.1400496148872772,54.80857163008975,-1445,inf,0.0,3.5029170026531102,1,7.08244830350072e-11,-5.820134738292078e-12
0.18,0.18003082775810048,64.18651200242758,-1450,inf,0.0,3.5029170026531102,1,1.7909335798948481e-10,-2.728832129655513e-11
0.23,0.2302676580273983,72.97853809194191,-1295,inf,0.0,3.5029170026531102,1,2.5165137136514125e-10,-2.9102231867709697e-11
0.27,0.2698869492700662,79.18586991232822,-1166,inf,0.0,3.5029170026531102,1,2.4480051048883104e-10,-3.387615753236676e-11
0.32,0.3200523322276569,85.36207166050366,-934,inf,0.0,3.5029170026531102,1,2.77050707091723e-09,-8.539563123070361e-10
0.36,0.3600522853769607,89.60291729913784,-747,inf,0.0,3.5029170026531102,1,4.264572191383823e-09,-2.155216346430914e-09
0.41,0.4100033263994303,92.90227136659904,-473,inf,0.0,3.5029170026531102,1,5.865611578785596e-09,-1.8956829716668144e-09
0.45,0.4499002080170911,95.3172283144168,-193,inf,0.0,3.5029170026531102,1,2.1776383966273682e-08,-1.254474608909917e-08
0.5,0.4999871160585446,95.80832988066295,101,34.09211309662845,0.2264048181255973,43.38619892643675,195,4.9484804302849874e-08,-3.578408984188587e-08
0.55,0.5500330297408219,94.56774826253236,356,9.800365818515816,0.4606981222240962,76.44027784783967,482,1.7943283858862052e-07,-1.4918811557486982e-07
0.59,0.5896862877382358,92.88995534882221,635,5.706761681307792,0.5542437360619179,85.1878001382388,754,4.62316207486881e-07,-4.259126951183158e-07
0.64,0.6401503438841101,89.20478137541954,933,3.5471719283215597,0.6248840445269017,85.74539384725337,991,9.978166670861274e-07,-9.780568565845872e-07
0.68,0.6798926182043065,85.33117278792564,1112,2.597815586550214,0.6744719926538109,83.65423347043202,1170,1.810665829493186e-06,-1.809713928508477e-06
0.73,0.7300041228612657,79.3606094437025,1358,2.0917727357387683,0.7275714004610109,78.69846249418103,1383,2.9908940897922435e-06,-2.942695057871136e-06
0.77,0.7703741965105602,72.61670190008519,1488,1.7583983470994882,0.7695039448286202,72.31687830473454,1499,4.876580616869252e-06,-4.8018260558976174e-06
0.82,0.8199808849159499,61.83288943800326,1528,1.483073379457624,0.8193273177039411,61.548829622449475,1541,9.36309233638626e-06,-9.405687118522993e-06
0.86,0.860062826783606,52.28848809002985,1521,1.3269699055038708,0.8598613687899402,52.19147705194675,1526,1.4994829446200555e-05,-1.4957168396209418e-05
0.91,0.9100677461067072,38.05691400417025,1379,1.1796087857686497,0.9100068402016454,38.02598127318989,1381,3.082356454144377e-05,-3.036618135991801e-05
0.95,0.9501122074174022,24.29847657833225,1088,1.0910882028136053,0.950033732501265,24.285394315596715,1087,7.056966904755013e-05,-6.996211959373297e-05
