Porosity,M0_ps,M1_ps,M3_ps,Tau_ps,M0_eff_ps,M1_eff_ps,M3_eff_ps,Permeability,Energy
0.05,0.050059968891137716,17.404947539371733,-350,inf,0.0,3.5029170026531102,1,1.1989499931817175e-11,-2.3796179863554573e-14
0.1,0.09991496598639456,26.3195312438636,-437,inf,0.0,3.5029170026531102,1,1.1419629574980613e-11,-1.0947846730797565e-12
0.14,0.13992780307715372,32.64774502152327,-458,inf,0.0,3.5029170026531102,1,7.983983264609419e-11,-1.255680444589363e-11
0.18,0.1799687505856337,37.627656423006734,-472,inf,0.0,3.5029170026531102,1,2.005268684467701e-10,-4.110250779293518e-11
0.23,0.2302208073311969,42.854937192479966,-419,inf,0.0,3.5029170026531102,1,6.684468390542492e-10,-3.0266911252405537e-10
0.27,0.27015399823841385,47.242230518486615,-377,inf,0.0,3.5029170026531102,1,1.946185812528532e-09,-5.563466408252409e-10
0.32,0.3200253930773411,49.91843523363208,-304,inf,0.0,3.5029170026531102,1,1.0055622633084321e-10,-4.218893470126648e-12
0.36,0.3600932797361369,53.304274417083434,-249,inf,0.0,3.5029170026531102,1,4.292041939121995e-09,-1.203064491234903e-09
0.41,0.41007125990892224,54.680411366591095,-135,inf,0.0,3.5029170026531102,1,1.736174525833684e-08,-8.752633501548144e-09
0.45,0.4500489589775304,54.59208478639522,-43,inf,0.0,3.5029170026531102,1,7.491064603945485e-08,-4.523369340133519e-08
0.5,0.4999062986075973,56.464567931533395,42,inf,0.0,3.5029170026531102,1,8.1466732497723e-08,-3.7342162315988926e-08
0.55,0.5501724105620209,55.4484742732767,167,7.495630894453928,0.43148905567736734,42.225205257171076,191,6.995291675438781e-07,-6.860660195709363e-07
0.59,0.5901477670958191,53.94126270049103,230,10.40834592812793,0.5717155319428047,51.45897520013442,263,1.2457277760201661e-06,-1.2794657320525207e-06
0.64,0.6401280898034145,50.81045629711338,316,3.7340481309827216,0.6317535278574239,49.424707966853504,335,3.2463911834449865e-06,-3.45195903079446e-06
0.68,0.680083534791327,49.565083353510225,387,2.781979653588037,0.6729528588294822,48.83996022129348,399,4.99643681256133e-06,-4.953854015028033e-06
0.73,0.7298272614831056,45.24508788347681,427,1.964418150407779,0.7232623076778921,44.53879118721832,436,1.0126622589119777e-05,-1.065129059909773e-05
0.77,0.7701422855643635,41.81503636507907,481,1.7440477224762128,0.7667573227638163,41.50935019176742,485,1.5876790462417732e-05,-1.6320561080915236e-05
0.82,0.8198778133843069,35.97935062036889,508,1.4503246449755571,0.8192406439159686,35.80923215995854,511,2.7739119662907482e-05,-2.8074143475636573e-05
0.86,0.8600557991791759,31.385998283063746,554,1.3035839324208196,0.8600557991791759,31.385998283063746,554,4.429899607012965e-05,-4.609703004685762e-05
0.91,0.9099506193662038,21.81349401755337,429,1.1675922124076017,0.9099072824722176,21.79028051518587,430,9.5685597849959e-05,-9.934900942064821e-05
0.95,0.9499810254680384,14.243604249311405,353,1.0855625473518704,0.9498193905661438,14.240462656657815,353,0.00024655663855656514,-0.00025380884476144044
